site_code,qtr,collection_period,com,is_baseline,shan,shan_b_all,shan_sd20,shan_b_qtr,shan_b_qtr_fill,shan_RR_b_qtr,shan_RR_b_all,shan_LRR_b_qtr,shan_LRR_b_all
MR,3,2018-08-01,community,test,3.3153271337734846,5.154498884627183,2.52218413812839,4.465896954442689,4.465896954442689,-0.2570590503713834,-0.3561181427162735,-1.3584494524975008,-1.0324927416214091
MR,4,2017-10-01,community,test,1.1536147967103554,5.154498884627183,2.52218413812839,3.761003654718584,3.761003654718584,-0.6914310079614092,-0.7746896992902818,-0.36899190442185287,-0.25529271781801194
MR,4,2017-11-01,community,test,2.6282763333710446,5.154498884627183,2.52218413812839,3.761003654718584,3.761003654718584,-0.30037820831337025,-0.48915153390308125,-1.2027129039559283,-0.7150829522294174
MR,4,2017-12-01,community,test,5.302379723794256,5.154498884627183,2.52218413812839,3.761003654718584,3.761003654718584,0.40874425224886163,0.028634111938190068,-0.8946656186460269,-3.553156546776303
PD,1,2018-02-01,community,test,5.23268409597585,7.175658124891106,1.8336251536136603,5.618704817581866,5.618704817581866,-0.06858073644228753,-0.27039611336153013,-2.679743593563965,-1.3078673085796104
PD,1,2018-03-01,community,test,5.782282092371661,7.175658124891106,1.8336251536136603,5.618704817581866,5.618704817581866,0.029061263663861588,-0.19391070494890272,-3.53834913713775,-1.640357509650442
PD,2,2018-04-01,community,test,6.31640202725667,7.175658124891106,1.8336251536136603,7.8675742204520205,7.8675742204520205,-0.19690987984196273,-0.11957931795529966,-1.6250091176432997,-2.123775379214321
PD,2,2018-05-01,community,test,1.9681088596282936,7.175658124891106,1.8336251536136603,7.8675742204520205,7.8675742204520205,-0.748893656312033,-0.7247143093579517,-0.28915828643697034,-0.3219777578459508
PD,2,2018-06-01,community,test,5.616228208937962,7.175658124891106,1.8336251536136603,7.8675742204520205,7.8675742204520205,-0.2857917867240196,-0.21701977589934066,-1.2524917517438878,-1.527766796417368
PD,3,2018-08-01,community,test,9.870885541320217,7.175658124891106,1.8336251536136603,7.841499540421381,7.841499540421381,0.258471135411914,0.37508428171566477,-1.3529712531177638,-0.9806045270227302
PD,4,2017-10-01,community,test,6.916326579783539,7.175658124891106,1.8336251536136603,9.822919120197357,9.822919120197357,-0.29559813366546633,-0.036090159119767005,-1.2187544036443063,-3.3217350513660593
PD,4,2017-11-01,community,test,6.160805598522855,7.175658124891106,1.8336251536136603,9.822919120197357,9.822919120197357,-0.37243401241370117,-0.14123306574422229,-0.9876954047377438,-1.957343804679271
PD,4,2017-12-01,community,test,7.381483097776031,7.175658124891106,1.8336251536136603,9.822919120197357,9.822919120197357,-0.24829208829822283,0.02864385826705949,-1.3931494504544317,-3.552816229934468
PL,1,2018-02-01,community,test,3.4758187008129022,5.191019834060019,1.268072859929523,4.551319617184871,4.551319617184871,-0.23578722971308466,-0.329781694354393,-1.4448254496266606,-1.1093243756900404
PL,1,2018-03-01,community,test,2.653905843996552,5.191019834060019,1.268072859929523,4.551319617184871,4.551319617184871,-0.4159791315740671,-0.4878108661398712,-0.8771201844645693,-0.7178275176389253
PL,2,2018-04-01,community,test,4.922343259496686,5.191019834060019,1.268072859929523,5.38446684143668,5.38446684143668,-0.08566621976249261,-0.05165844067808501,-2.457296699548876,-2.96310167608891
PL,2,2018-05-01,community,test,4.429350279838603,5.191019834060019,1.268072859929523,5.38446684143668,5.38446684143668,-0.17705485818570824,-0.14644619296266775,-1.731295661175108,-1.9210972015214092
PL,2,2018-06-01,community,test,5.292061997613854,5.191019834060019,1.268072859929523,5.38446684143668,5.38446684143668,-0.01712956007311675,0.01942737516441261,-4.066949648638658,-3.941072116616997
PL,3,2018-08-01,community,test,4.496063744904217,5.191019834060019,1.268072859929523,4.6792390155171475,4.6792390155171475,-0.039062899120046096,-0.13361919610548875,-3.2425821340645347,-2.012761344776749
PL,4,2017-10-01,community,test,4.227347078881329,5.191019834060019,1.268072859929523,5.659115579906634,5.659115579906634,-0.25255588474858454,-0.18528534516785877,-1.3761227290186817,-1.685858235877955
PL,4,2017-11-01,community,test,4.847372784661394,5.191019834060019,1.268072859929523,5.659115579906634,5.659115579906634,-0.1431868487780256,-0.06607301267112603,-1.9436048668152517,-2.7169948958093912
PL,4,2017-12-01,community,test,4.282093894122826,5.191019834060019,1.268072859929523,5.659115579906634,5.659115579906634,-0.24289885545189152,-0.17475917588025566,-1.4151101549987326,-1.7443463906329801
SF,1,2018-02-01,community,test,1.9178521397057304,3.4708153203003933,1.6703377620443005,1.6131839419831722,1.6131839419831722,0.18769788798570852,-0.4461492603579562,-1.6729215875269878,-0.8071017184700164
SF,2,2018-04-01,community,test,3.99132137290316,3.4708153203003933,1.6703377620443005,5.86887374706367,5.86887374706367,-0.3193728008019043,0.1495356704410986,-1.1413962039910333,-1.9002203163432176
SF,2,2018-05-01,community,test,3.6105230215229778,3.4708153203003933,1.6703377620443005,5.86887374706367,5.86887374706367,-0.3841468319792842,0.04013648768085971,-0.9567304245350269,-3.2154694411649225
SF,2,2018-06-01,community,test,2.466757955347994,3.4708153203003933,1.6703377620443005,5.86887374706367,5.86887374706367,-0.5787019653917447,-0.28845465000589277,-0.5469676741894405,-1.2432173977439203
SF,3,2017-09-01,community,test,2.792070070360838,3.4708153203003933,1.6703377620443005,3.112477598036646,3.112477598036646,-0.10261323504042892,-0.19499605336171066,-2.2767883580693917,-1.6347759597939195
SF,3,2018-07-01,community,test,4.9073958783755485,3.4708153203003933,1.6703377620443005,3.112477598036646,3.112477598036646,0.5748378407798707,0.4127138115305637,-0.5536672939937943,-0.8850008765113193
SF,4,2017-11-01,community,test,3.393269085977416,3.4708153203003933,1.6703377620443005,3.2887259941180846,3.2887259941180846,0.031691959879584036,-0.022278181169429336,-3.451692261827689,-3.8041475023797386
SF,4,2017-12-01,community,test,2.197360038750746,3.4708153203003933,1.6703377620443005,3.2887259941180846,3.2887259941180846,-0.330844682860395,-0.3658497117393027,-1.106106249802085,-1.0055326535728604
TR,1,2018-02-01,community,test,1.7597726647625325,3.56588306943488,1.786845193372555,2.9650795300588806,2.9650795300588806,-0.4051343344332357,-0.5050809463290921,-0.9035365769139446,-0.68303657279123
TR,2,2018-04-01,community,test,2.353785793167406,3.56588306943488,1.786845193372555,3.6059328592940294,3.6059328592940294,-0.3462860387211645,-0.3389644607308229,-1.0604901439476317,-1.081860012699615
TR,2,2018-06-01,community,test,2.8102951626905104,3.56588306943488,1.786845193372555,3.6059328592940294,3.6059328592940294,-0.22003663440776897,-0.21130106663800394,-1.513961226457384,-1.554471306393672
TR,3,2018-07-01,community,test,1.8494012832721296,3.56588306943488,1.786845193372555,3.050552340005937,3.050552340005937,-0.3924621843688115,-0.4800161953936646,-0.9353150919583735,-0.7339354352459272
