site_code,collection_period,geographic_range,density
SF,2018-05-01,Local,0.01381692573402417
SF,2018-05-01,Restricted,0.16580310880829016
SF,2018-05-01,Unlimited,0.6908462867012091
SF,2018-06-01,Restricted,0.2833333333333333
SF,2018-06-01,Unlimited,1.4708333333333332
SF,2018-07-01,Local,0.01454545454545454
SF,2018-07-01,Restricted,0.1890909090909091
SF,2018-07-01,Unlimited,0.35393939393939394
SF,2018-09-01,Local,0.01167883211678832
SF,2018-09-01,Restricted,0.01167883211678832
SF,2018-09-01,Unlimited,0.36982968369829683
SF,2019-04-01,Local,0.836936215639178
SF,2019-04-01,Restricted,0.6405124099279423
SF,2019-04-01,Unlimited,1.6696023485455032
SF,2019-10-01,Local,0.07686148919135308
SF,2019-10-01,Restricted,0.44835868694955966
SF,2019-10-01,Unlimited,1.7806244995996796
SF,2020-01-01,Local,0.09733840304182508
SF,2020-01-01,Restricted,0.3609632446134347
SF,2020-01-01,Unlimited,4.295057034220532
SF,2020-06-01,Local,0.19515073124794355
SF,2020-06-01,Restricted,0.5809138046450413
SF,2020-06-01,Unlimited,1.2344418348707127
SF,2020-09-01,Local,0.0922714048033033
SF,2020-09-01,Restricted,0.23529208224842343
SF,2020-09-01,Unlimited,0.7151033872256007
SF,2020-11-01,Local,0.13178822994773914
SF,2020-11-01,Restricted,0.5816859804589866
SF,2020-11-01,Unlimited,1.6678027720972506
TR,2017-04-01,Unlimited,0.6340557275541796
TR,2017-10-01,Local,0.01249024199843872
TR,2017-10-01,Restricted,0.059328649492583915
TR,2017-10-01,Unlimited,1.1022638563622171
TR,2017-11-01,Local,0.0377104377104377
TR,2017-11-01,Restricted,0.40404040404040403
TR,2017-11-01,Unlimited,1.152861952861953
TR,2017-12-01,Restricted,1.451851851851852
TR,2017-12-01,Unlimited,0.5407407407407407
TR,2018-02-01,Local,0.09572649572649572
TR,2018-02-01,Restricted,10.60740740740741
TR,2018-02-01,Unlimited,2.1333333333333333
TR,2018-04-01,Local,0.02237762237762237
TR,2018-04-01,Restricted,2.6815850815850815
TR,2018-04-01,Unlimited,1.3426573426573425
TR,2018-06-01,Local,0.24444444444444444
TR,2018-06-01,Restricted,1.4185185185185185
TR,2018-06-01,Unlimited,1.1777777777777778
TR,2018-07-01,Local,0.00745920745920745
TR,2018-07-01,Restricted,0.11561771561771561
TR,2018-07-01,Unlimited,0.9025641025641025
TR,2018-09-01,Restricted,0.01515151515151515
TR,2018-09-01,Unlimited,0.19318181818181818
TR,2019-10-01,Local,0.00563479485824969
TR,2019-10-01,Restricted,0.01126958971649938
TR,2019-10-01,Unlimited,0.030991371720373292
TR,2020-01-01,Local,0.01940570042449969
TR,2020-01-01,Restricted,0.9702850212249851
TR,2020-01-01,Unlimited,0.5304224782696585
TR,2020-06-01,Local,0.03002293001279726
TR,2020-06-01,Restricted,0.042032102017916184
TR,2020-06-01,Unlimited,0.21616509609214038
TR,2020-09-01,Local,0.14970196529470295
TR,2020-09-01,Restricted,0.2628912561272832
TR,2020-09-01,Unlimited,0.507526175023505
TR,2020-11-01,Local,0.01940675961695908
