site_code,collection_period,reproduction,density
TR,2018-09-01,Broadcaster,0.01515151515151515
TR,2019-10-01,Bearer,0.01972178200387391
TR,2019-10-01,Broadcaster,0.00563479485824969
TR,2019-10-01,ComplexNest,0.00563479485824969
TR,2019-10-01,SimpleNest,0.01690438457474907
TR,2020-01-01,Bearer,0.5077824944410755
TR,2020-01-01,Broadcaster,0.9282393369719024
TR,2020-01-01,ComplexNest,0.01293713361633312
TR,2020-01-01,SimpleNest,0.07115423488983222
TR,2020-06-01,Bearer,0.13510318505758775
TR,2020-06-01,Broadcaster,0.01501146500639863
TR,2020-06-01,ComplexNest,0.05704356702431481
TR,2020-06-01,SimpleNest,0.08106191103455264
TR,2020-09-01,Bearer,0.507526175023505
TR,2020-09-01,Broadcaster,0.29210139569698135
TR,2020-09-01,ComplexNest,0.09493295360151893
TR,2020-09-01,SimpleNest,0.02555887212348586
TR,2020-11-01,Bearer,1.9891928607383056
TR,2020-11-01,Broadcaster,4.696435827304097
TR,2020-11-01,ComplexNest,0.01940675961695908
TR,2020-11-01,SimpleNest,0.08409595834015601
WM,2017-10-01,ComplexNest,0.028852722001859548
WM,2017-10-01,SimpleNest,0.00607425726354938
WM,2017-11-01,Bearer,0.08342813803564658
WM,2017-11-01,Broadcaster,0.01061812665908229
WM,2017-11-01,ComplexNest,0.05764125900644672
WM,2017-11-01,SimpleNest,0.01213500189609404
WM,2017-12-01,Bearer,0.2258064516129032
WM,2017-12-01,Broadcaster,0.04946236559139784
WM,2017-12-01,ComplexNest,0.2946236559139785
WM,2017-12-01,SimpleNest,0.21075268817204298
WM,2018-02-01,Bearer,0.11594202898550723
WM,2018-02-01,Broadcaster,0.014906832298136639
WM,2018-02-01,ComplexNest,0.10931677018633539
WM,2018-02-01,SimpleNest,0.00662525879917184
WM,2018-03-01,Bearer,0.093052628822125
WM,2018-03-01,Broadcaster,0.016509337371667328
WM,2018-03-01,ComplexNest,0.09455347767409472
WM,2018-03-01,SimpleNest,0.01951103507560685
WM,2018-04-01,Bearer,0.04598802395209581
WM,2018-04-01,Broadcaster,0.01149700598802392
WM,2018-04-01,ComplexNest,0.00766467065868263
WM,2018-04-01,SimpleNest,0.0063872255489021805
WM,2018-05-01,Bearer,0.03589743589743589
WM,2018-05-01,Broadcaster,0.00854700854700853
WM,2018-05-01,ComplexNest,0.04273504273504271
WM,2018-05-01,SimpleNest,0.01367521367521366
WM,2018-06-01,Bearer,0.00565870910698496
WM,2018-06-01,Broadcaster,0.0070733863837312
WM,2018-06-01,ComplexNest,0.01273209549071617
WM,2018-06-01,SimpleNest,0.00141467727674624
WM,2018-09-01,Bearer,0.02384823848238482
WM,2018-09-01,Broadcaster,0.0043360433604336
WM,2018-09-01,ComplexNest,0.11707317073170728
WM,2018-09-01,SimpleNest,0.02168021680216801
WM,2019-03-01,Bearer,0.03939393939393939
WM,2019-03-01,Broadcaster,0.04999999999999999
WM,2019-03-01,ComplexNest,0.02575757575757575
WM,2019-03-01,SimpleNest,0.0106060606060606
WM,2019-10-01,Bearer,0.00660679260865076
WM,2019-10-01,ComplexNest,0.02642717043460306
WM,2019-10-01,SimpleNest,0.00165169815216269
WM,2020-01-01,Bearer,0.01440954632443994
WM,2020-01-01,ComplexNest,0.1513002364066194
WM,2020-01-01,SimpleNest,0.01440954632443994
WM,2020-06-01,Bearer,0.02237235248230082
WM,2020-06-01,Broadcaster,0.00706495341546341
WM,2020-06-01,ComplexNest,0.03296978260549593
WM,2020-06-01,SimpleNest,0.00588746117955284
WM,2020-09-01,Bearer,0.00304711409728292
WM,2020-09-01,ComplexNest,0.03504181211875363
WM,2020-09-01,SimpleNest,0.00761778524320731
WM,2020-11-01,Bearer,0.02989060784792854
WM,2020-11-01,Broadcaster,0.0059781215695857
WM,2020-11-01,ComplexNest,0.1530399121813941
WM,2020-11-01,SimpleNest,0.00956499451133713
